full_name,date_of_birth,school_id
Percy Todd,6/11/2008,1
Israel Cruz,6/16/2008,1
Beatrice Lindsey,6/17/2008,1
Herman Rice,6/23/2008,1
Marcus Mcdonald,7/11/2008,1
Alvin Harmon,7/12/2008,1
Dean Perkins,7/31/2008,1
jeff Gibson,8/8/2008,1
Eduardo Warner,10/1/2008,2
Marshall Wright,10/11/2008,2
Greg French,1/6/2009,2
Stacey Cross,1/7/2009,2
Kristi Sutton,2/4/2009,2
Tara Curry,3/7/2009,2
Vivian Gonzales,4/14/2009,2
Alfred Johnson,6/21/2009,2
Jodi Poole,7/7/2009,2
Daniel Caldwell,7/11/2009,3
Guillermo Hale,9/1/2009,3
Roy Cunningham,9/3/2009,3
Seth May,10/11/2009,3
Sheldon Jackson,8/23/2010,3
Willard Taylor,8/27/2010,3
Jorge Silva,12/9/2010,3
Margaret Quinn,12/29/2010,3
Kenneth Bradley,4/11/2008,3
Kristin Goodman,4/12/2008,3
Gwen Rowe,9/2/2008,2
Paulette Watson,10/20/2008,3
Doyle Sherman,11/23/2008,4
Paula Mills,12/6/2008,3
Reginald Parsons,12/20/2008,1
Brent Hall,12/24/2008,1
Arlene Mclaughlin,2/16/2009,4
Melinda Pearson,5/15/2009,4
Robyn Briggs,6/4/2009,4
Irma Warren,6/5/2009,4
Anthony Hawkins,6/24/2009,4
Yvonne Jenkins,7/15/2009,4
Laura Peterson,12/20/2009,4
Emma Bass,1/13/2010,4
Sadie Morris,1/18/2010,1
Daniel Sutton,1/23/2010,2
Bradley Cobb,5/15/2010,3
Sherman Parker,6/4/2010,4
Leonard Schneider,7/17/2010,1
Levi Zimmerman,9/13/2010,2
Jeannie Lynch,9/29/2010,3
Ginger Osborne,10/31/2010,4
Franklin Freeman,12/23/2010,1
